iter	Passed	Remaining
0	144	144587
1	147	73354
2	147	49063
3	148	37090
4	149	29776
5	150	24907
6	151	21422
7	151	18843
8	152	16809
9	153	15179
10	153	13842
11	154	12725
12	155	11786
13	155	10980
14	156	10279
15	159	9819
16	160	9283
17	161	8796
18	161	8359
19	162	7965
20	163	7607
21	163	7288
22	164	6991
23	165	6722
24	165	6472
25	166	6242
26	167	6031
27	168	5834
28	168	5650
29	169	5476
30	170	5314
31	171	5178
32	172	5046
33	173	4926
34	174	4797
35	174	4676
36	175	4564
37	176	4456
38	176	4353
39	177	4254
40	177	4161
41	178	4074
42	179	3989
43	179	3909
44	180	3832
45	181	3758
46	181	3686
47	182	3619
48	183	3554
49	184	3497
50	184	3436
51	185	3380
52	186	3324
53	186	3270
54	187	3218
55	187	3168
56	188	3119
57	189	3071
58	189	3029
59	190	2985
60	191	2942
61	191	2901
62	192	2861
63	193	2822
64	193	2785
65	194	2748
66	194	2713
67	195	2675
68	195	2641
69	196	2609
70	196	2577
71	197	2550
72	198	2521
73	199	2491
74	199	2462
75	200	2434
76	200	2407
77	201	2381
78	202	2355
79	202	2329
80	203	2305
81	203	2280
82	204	2257
83	204	2234
84	205	2209
85	205	2187
86	206	2165
87	206	2143
88	207	2123
89	208	2108
90	209	2088
91	209	2069
92	210	2051
93	211	2034
94	211	2018
95	212	2001
96	213	1983
97	213	1966
98	214	1950
99	214	1934
100	215	1920
101	216	1902
102	216	1887
103	217	1872
104	217	1857
105	218	1846
106	219	1835
107	220	1821
108	221	1807
109	221	1793
110	222	1779
111	223	1768
112	223	1754
113	224	1742
114	224	1730
115	225	1717
116	225	1704
117	226	1692
118	226	1679
119	227	1667
120	227	1655
121	228	1644
122	228	1631
123	229	1620
124	229	1609
125	230	1599
126	231	1588
127	231	1577
128	232	1567
129	232	1558
130	233	1548
131	234	1538
132	234	1528
133	235	1519
134	235	1510
135	236	1500
136	236	1491
137	237	1483
138	238	1474
139	238	1466
140	239	1457
141	239	1449
142	240	1440
143	240	1432
144	241	1423
145	242	1415
146	242	1407
147	243	1399
148	243	1391
149	244	1384
150	244	1376
151	245	1369
152	246	1361
153	246	1354
154	247	1347
155	247	1339
156	248	1332
157	248	1325
158	249	1319
159	250	1313
160	250	1306
161	251	1299
162	252	1294
163	252	1287
164	253	1281
165	253	1275
166	254	1269
167	255	1263
168	255	1257
169	256	1251
170	256	1245
171	257	1239
172	258	1233
173	258	1228
174	259	1223
175	260	1217
176	260	1211
177	261	1205
178	261	1200
179	262	1194
180	262	1188
181	263	1182
182	263	1177
183	264	1171
184	264	1166
185	265	1161
186	266	1157
187	266	1152
188	267	1147
189	267	1141
190	268	1138
191	269	1133
192	269	1128
193	270	1123
194	270	1118
195	271	1113
196	272	1108
197	272	1104
198	273	1099
199	273	1095
200	274	1091
201	275	1086
202	275	1082
203	276	1077
204	276	1073
205	277	1068
206	277	1064
207	278	1060
208	278	1055
209	279	1052
210	280	1048
211	280	1044
212	281	1040
213	282	1036
214	282	1032
215	283	1029
216	284	1025
217	284	1021
218	285	1017
219	285	1013
220	286	1009
221	286	1005
222	287	1001
223	288	998
224	288	994
225	289	990
226	289	986
227	290	983
228	290	979
229	291	976
230	292	972
231	292	968
232	293	965
233	293	962
234	294	958
235	295	955
236	295	951
237	296	948
238	296	945
239	297	941
240	297	938
241	298	934
242	298	931
243	299	927
244	300	924
245	300	921
246	301	918
247	301	915
248	302	911
249	302	908
250	303	905
251	304	902
252	304	899
253	305	896
254	305	893
255	306	890
256	306	887
257	307	884
258	308	881
259	308	878
260	309	875
261	309	872
262	310	869
263	310	866
264	311	863
265	312	861
266	312	858
267	313	855
268	313	852
269	314	849
270	314	846
271	315	843
272	315	841
273	316	838
274	316	835
275	317	832
276	318	831
277	318	828
278	319	825
279	320	823
280	320	820
281	321	817
282	321	815
283	322	813
284	323	811
285	323	808
286	324	805
287	325	803
288	325	801
289	326	798
290	326	796
291	327	793
292	327	791
293	328	788
294	329	786
295	329	783
296	330	781
297	330	779
298	331	776
299	331	774
300	332	771
301	332	769
302	333	767
303	334	764
304	334	762
305	335	760
306	335	757
307	336	756
308	337	754
309	337	751
310	338	749
311	338	747
312	339	744
313	339	742
314	340	740
315	341	738
316	341	736
317	342	733
318	342	731
319	343	729
320	343	727
321	344	724
322	344	722
323	345	720
324	345	718
325	346	716
326	347	714
327	347	712
328	348	710
329	350	710
330	350	708
331	351	706
332	351	704
333	352	702
334	353	700
335	353	699
336	354	697
337	355	695
338	355	693
339	356	691
340	356	689
341	357	687
342	357	685
343	358	683
344	359	681
345	359	679
346	360	677
347	360	675
348	361	673
349	361	672
350	362	670
351	363	668
352	363	666
353	364	665
354	365	664
355	366	662
356	366	660
357	367	658
358	368	657
359	369	657
360	370	655
361	371	654
362	371	652
363	372	650
364	373	649
365	373	647
366	374	645
